StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent2_1,Consent2_2,Consent2_3,Eligibility2,Eligibility3,TestTrat,C_Min+58,C_Min+58_3_TEXT,T1_Min+58Slider,T1_Min+58Slider_6_TEXT,T2_Min+SB,T2_Min+SB_3_TEXT,T3_Min+SBSlider,T3_Min+SBSlider_6_TEXT,S1_1,ITP246_1,ITP246_2,ITP201,ITP180,ITP170,ITP165,ITP175,ITP190,ITP195,ITP185,ITP223,ITP212,ITP206,ITP217,ITP234,ITP228,ITP240,ITP296,ITP323,ITP309,ITP316,ITP303,ITP336,ITP343,ITP329,ITP270,ITP258,ITP252,ITP264,ITP283,ITP277,ITP290,FL1,FL2,FL3,DebtAversion1_1,DebtAversion1_2,DebtAversion1_3,Demographics1,Free1,ticket,s,g,balance,min,testing,sliderValue,sliderCount1,sliderCount2,sliderCount3,sliderCount4,sliderCount5,sliderCount6,sliderCount7,sliderCount8,sliderCount9,condition
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please answer the following questions before starting the survey: - I am 18 years old or older,Please answer the following questions before starting the survey: - I have read and understood the information above,Please answer the following questions before starting the survey: - I want to participate in this study,How many credit cards did you use to pay for something in the last year?,When was the last time you used a credit card to pay for something?,TEST: Elegir tratamiento,"Credit Card Bill
  
 






 
  
    Payment Due Date
   [CurrentDate-m%2Fd%2FY]
  
  
    Statement Balance

   balance
  
  
    Minimum Payment

   min
  
 


* Annual Percentage Rate (APR): 16.0% 





Additional information:


    
        If you make no additional charges using this card and each month you pay...
        You will pay off the balance shown on this statement in about...
        And you will end up paying an estimated total of...
    
    
        Only the minimum required amount
        17 years
        $4,029
    
    
        $58
        3 years

        $2,134 (Savings=$1,895)
    





Which payment option will you choose?: - Selected Choice","Credit Card Bill
  
 






 
  
    Payment Due Date
   [CurrentDate-m%2Fd%2FY]
  
  
    Statement Balance

   balance
  
  
    Minimum Payment

   min
  
 


* Annual Percentage Rate (APR): 16.0% 





Additional information:


    
        If you make no additional charges using this card and each month you pay...
        You will pay off the balance shown on this statement in about...
        And you will end up paying an estimated total of...
    
    
        Only the minimum required amount
        17 years
        $4,029
    
    
        $58
        3 years

        $2,134 (Savings=$1,895)
    





Which payment option will you choose?: - Other amount ($) - Text","Credit Card Bill
  
 






 
  
    Payment Due Date
   [CurrentDate-m%2Fd%2FY]
  
  
    Statement Balance

   balance
  
  
    Minimum Payment

   min
  
 


* Annual Percentage Rate (APR): 16.0% 





Additional information:

    
        If you make no additional charges using this card and each month you pay...
        You will pay off the balance shown on this statement in about...
        And you will end up paying an estimated total of...
    
    
        Only the minimum required amount
        17 years
        $4,029
    
    
         
         
        $ 
    



Please use the slider below to adjust the payment information displayed in the second row of the table:



    
    
        
             
            $38
        
        
             
            $$e{e://Field/balance}
        
    




Which payment option will you choose?: - Selected Choice","Credit Card Bill
  
 






 
  
    Payment Due Date
   [CurrentDate-m%2Fd%2FY]
  
  
    Statement Balance

   balance
  
  
    Minimum Payment

   min
  
 


* Annual Percentage Rate (APR): 16.0% 





Additional information:

    
        If you make no additional charges using this card and each month you pay...
        You will pay off the balance shown on this statement in about...
        And you will end up paying an estimated total of...
    
    
        Only the minimum required amount
        17 years
        $4,029
    
    
         
         
        $ 
    



Please use the slider below to adjust the payment information displayed in the second row of the table:



    
    
        
             
            $38
        
        
             
            $$e{e://Field/balance}
        
    




Which payment option will you choose?: - Other amount ($) - Text","Credit Card Bill
  
 






 
  
    Payment Due Date
   [CurrentDate-m%2Fd%2FY]
  
  
    Statement Balance

   balance
  
  
    Minimum Payment

   min
  
 


* Annual Percentage Rate (APR): 16.0% 





Additional information:


    
        If you make no additional charges using this card and each month you pay...
        You will pay off the balance shown on this statement in about...
        And you will end up paying an estimated total of...
    
    
        Only the minimum required amount
        17 years
        $4,029
    
    
        $1,678
(Statement Balance)
        Your balance is paid off now!
        $1,678 (Savings=$2,351)
    





Which payment option will you choose?: - Selected Choice","Credit Card Bill
  
 






 
  
    Payment Due Date
   [CurrentDate-m%2Fd%2FY]
  
  
    Statement Balance

   balance
  
  
    Minimum Payment

   min
  
 


* Annual Percentage Rate (APR): 16.0% 





Additional information:


    
        If you make no additional charges using this card and each month you pay...
        You will pay off the balance shown on this statement in about...
        And you will end up paying an estimated total of...
    
    
        Only the minimum required amount
        17 years
        $4,029
    
    
        $1,678
(Statement Balance)
        Your balance is paid off now!
        $1,678 (Savings=$2,351)
    





Which payment option will you choose?: - Other amount ($) - Text","Credit Card Bill
  
 






 
  
    Payment Due Date
   [CurrentDate-m%2Fd%2FY]
  
  
    Statement Balance

   balance
  
  
    Minimum Payment

   min
  
 


* Annual Percentage Rate (APR): 16.0% 





Additional information:

    
        If you make no additional charges using this card and each month you pay...
        You will pay off the balance shown on this statement in about...
        And you will end up paying an estimated total of...
    
    
        Only the minimum required amount
        17 years
        $4,029
    
    
         
         
        $ 
    



Please use the slider below to adjust the payment information displayed in the second row of the table:



    
    
        
             
            $38
        
        
             
            $$e{e://Field/balance}
        
    




Which payment option will you choose?: - Selected Choice","Credit Card Bill
  
 






 
  
    Payment Due Date
   [CurrentDate-m%2Fd%2FY]
  
  
    Statement Balance

   balance
  
  
    Minimum Payment

   min
  
 


* Annual Percentage Rate (APR): 16.0% 





Additional information:

    
        If you make no additional charges using this card and each month you pay...
        You will pay off the balance shown on this statement in about...
        And you will end up paying an estimated total of...
    
    
        Only the minimum required amount
        17 years
        $4,029
    
    
         
         
        $ 
    



Please use the slider below to adjust the payment information displayed in the second row of the table:



    
    
        
             
            $38
        
        
             
            $$e{e://Field/balance}
        
    




Which payment option will you choose?: - Other amount ($) - Text",How confident are you that the decision you made regarding the payment amount was the right one? - How confident are you that you made the right payment decision?,"Please consider the following: 
Would you rather receive 160 U.S. dollars today or 246 U.S. dollars in 12 months?","Suppose you were given the choice between receiving a payment today or a payment in 12 months. We will now present to you five situations. The payment today is the same in each of these situations. The payment in 12 months is different in every situation. For each of these situations, we would like to know which you would choose. Please assume there is no inflation, i.e. future prices are the same as today’s prices.

 
Think about it again. Please consider the following:

Would you rather receive 160 U.S. dollars today or 246 U.S. dollars in 12 months?",Would you rather receive 160 U.S. dollars today or 201 U.S. dollars in 12 months?,Would you rather receive 160 U.S. dollars today or 180 U.S. dollars in 12 months?,Would you rather receive 160 U.S. dollars today or 170 U.S. dollars in 12 months?,Would you rather receive 160 U.S. dollars today or 165 U.S. dollars in 12 months?,Would you rather receive 160 U.S. dollars today or 175 U.S. dollars in 12 months?,Would you rather receive 160 U.S. dollars today or 190 U.S. dollars in 12 months?,Would you rather receive 160 U.S. dollars today or 195 U.S. dollars in 12 months?,Would you rather receive 160 U.S. dollars today or 185 U.S. dollars in 12 months?,Would you rather receive 160 U.S. dollars today or 223 U.S. dollars in 12 months?,Would you rather receive 160 U.S. dollars today or 212 U.S. dollars in 12 months?,Would you rather receive 160 U.S. dollars today or 206 U.S. dollars in 12 months?,Would you rather receive 160 U.S. dollars today or 217 U.S. dollars in 12 months?,Would you rather receive 160 U.S. dollars today or 234 U.S. dollars in 12 months?,Would you rather receive 160 U.S. dollars today or 228 U.S. dollars in 12 months?,Would you rather receive 160 U.S. dollars today or 240 U.S. dollars in 12 months?,Would you rather receive 160 U.S. dollars today or 296 U.S. dollars in 12 months?,Would you rather receive 160 U.S. dollars today or 323 U.S. dollars in 12 months?,Would you rather receive 160 U.S. dollars today or 309 U.S. dollars in 12 months?,Would you rather receive 160 U.S. dollars today or 316 U.S. dollars in 12 months?,Would you rather receive 160 U.S. dollars today or 303 U.S. dollars in 12 months?,Would you rather receive 160 U.S. dollars today or 336 U.S. dollars in 12 months?,Would you rather receive 160 U.S. dollars today or 343 U.S. dollars in 12 months?,Would you rather receive 160 U.S. dollars today or 329 U.S. dollars in 12 months?,Would you rather receive 160 U.S. dollars today or 270 U.S. dollars in 12 months?,Would you rather receive 160 U.S. dollars today or 258 U.S. dollars in 12 months?,Would you rather receive 160 U.S. dollars today or 252 U.S. dollars in 12 months?,Would you rather receive 160 U.S. dollars today or 264 U.S. dollars in 12 months?,Would you rather receive 160 U.S. dollars today or 283 U.S. dollars in 12 months?,Would you rather receive 160 U.S. dollars today or 277 U.S. dollars in 12 months?,Would you rather receive 160 U.S. dollars today or 290 U.S. dollars in 12 months?,"Suppose you had $100 in a savings account and the interest rate was 2% per year. After 5 years, how much do you think you would have in the account if you left the money to grow?","Imagine that the interest rate on your savings account was 1% per year and inflation was 2% per year. After 1 year, with the money in this account, would you be able to buy…",Do you think the following statement is true or false? Buying a single company stock usually provides a safer return than a stock mutual fund.,To what extent do you agree or disagree with the following statements? - I am the type of person who tends to buy things impulsively even when I don't have enough money,To what extent do you agree or disagree with the following statements? - I am the type of person who enjoys spending money in the present and then figures out how to manage in the future,To what extent do you agree or disagree with the following statements? - I am the type of person who prefers to live without getting into debt or borrowing money,What is the highest level of education you have achieved?,"Thank you for your participation. Now that you've finished the survey, we invite you to share a final reflection on the decisions you made in the hypothetical case presented, in which you were asked how much to pay on a credit card.

 

 What factors did you consider when deciding how much to pay?",ticket,s,g,balance,min,testing,sliderValue,sliderCount1,sliderCount2,sliderCount3,sliderCount4,sliderCount5,sliderCount6,sliderCount7,sliderCount8,sliderCount9,condition
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID10_3""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID94""}","{""ImportId"":""QID1""}","{""ImportId"":""QID1_3_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID2_6_TEXT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID6_3_TEXT""}","{""ImportId"":""QID19""}","{""ImportId"":""QID19_6_TEXT""}","{""ImportId"":""QID93_1""}","{""ImportId"":""QID57""}","{""ImportId"":""QID58""}","{""ImportId"":""QID59""}","{""ImportId"":""QID60""}","{""ImportId"":""QID61""}","{""ImportId"":""QID62""}","{""ImportId"":""QID63""}","{""ImportId"":""QID66""}","{""ImportId"":""QID65""}","{""ImportId"":""QID64""}","{""ImportId"":""QID67""}","{""ImportId"":""QID68""}","{""ImportId"":""QID69""}","{""ImportId"":""QID70""}","{""ImportId"":""QID71""}","{""ImportId"":""QID72""}","{""ImportId"":""QID73""}","{""ImportId"":""QID74""}","{""ImportId"":""QID75""}","{""ImportId"":""QID76""}","{""ImportId"":""QID77""}","{""ImportId"":""QID78""}","{""ImportId"":""QID79""}","{""ImportId"":""QID80""}","{""ImportId"":""QID81""}","{""ImportId"":""QID82""}","{""ImportId"":""QID83""}","{""ImportId"":""QID84""}","{""ImportId"":""QID85""}","{""ImportId"":""QID86""}","{""ImportId"":""QID87""}","{""ImportId"":""QID88""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID113_1""}","{""ImportId"":""QID113_2""}","{""ImportId"":""QID113_3""}","{""ImportId"":""QID108""}","{""ImportId"":""QID109_TEXT""}","{""ImportId"":""ticket""}","{""ImportId"":""s""}","{""ImportId"":""g""}","{""ImportId"":""balance""}","{""ImportId"":""min""}","{""ImportId"":""testing""}","{""ImportId"":""sliderValue""}","{""ImportId"":""sliderCount1""}","{""ImportId"":""sliderCount2""}","{""ImportId"":""sliderCount3""}","{""ImportId"":""sliderCount4""}","{""ImportId"":""sliderCount5""}","{""ImportId"":""sliderCount6""}","{""ImportId"":""sliderCount7""}","{""ImportId"":""sliderCount8""}","{""ImportId"":""sliderCount9""}","{""ImportId"":""condition""}"
2023-11-08 08:43:46,2023-11-08 09:11:27,Survey Preview,,100,1660,True,2023-11-08 09:11:28,R_1r0aXsZ4Fo5lJRE,,,,,-33.4521,-70.6536,preview,EN,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1678.32,34,,,,,,,,,,,,
2023-11-08 15:53:12,2023-11-08 15:55:43,Survey Preview,,100,150,True,2023-11-08 15:55:45,R_3DJ4XGGMNs4uh0J,,,,,-34.982,-71.232,preview,EN,,,,,,,Other amount ($),60,Other amount ($),50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1678,34,,,,,,,,,,,,
2023-11-09 08:27:37,2023-11-09 08:30:47,Survey Preview,,100,189,True,2023-11-09 08:30:48,R_xEP2e483W9avY8p,,,,,-33.2944,-70.7646,preview,EN,,,,,,,Other amount ($),58,Statement balance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1678,34,,,,,,,,,,,,
2023-11-09 08:37:24,2023-11-09 08:45:27,Survey Preview,,100,483,True,2023-11-09 08:45:28,R_12aN7DMDP1Jpwjm,,,,,-33.4521,-70.6536,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1678,34,,,,,,,,,,,,
2023-11-27 10:43:04,2023-11-27 10:43:16,Survey Preview,,100,12,True,2023-11-27 10:43:18,R_1rqXZatYCyy5pLR,,,,,-33.4521,-70.6536,preview,EN,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1678,34,,,,,,,,,,,,
2023-11-27 15:51:22,2023-11-27 15:52:08,Survey Preview,,100,46,True,2023-11-27 15:52:09,R_doi7RxaPcc22OM9,,,,,-33.4521,-70.6536,preview,EN,Yes,Yes,Yes,I used 3 or more credit cards,Less than a month ago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1678,34,,,,,,,,,,,,treat4
2023-11-27 15:52:43,2023-11-27 15:53:13,Survey Preview,,100,29,True,2023-11-27 15:53:14,R_2rYlKM2rGijfwvc,,,,,-33.4521,-70.6536,preview,EN,Yes,Yes,Yes,I used 3 or more credit cards,Less than a month ago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1678,34,,,,,,,,,,,,treat4
2023-11-27 15:53:31,2023-11-27 15:54:02,Survey Preview,,100,30,True,2023-11-27 15:54:03,R_AgGP1seUh3mFEc1,,,,,-33.4521,-70.6536,preview,EN,Yes,Yes,Yes,I used 3 or more credit cards,Less than a month ago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1678,34,,,,,,,,,,,,treat4
