Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Credit cards,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6658a27c0e50fcf976b81d04,608b3a030c86f58ffd351d63,AWAITING REVIEW,Not Applicable,2024-05-30T16:00:00.949000Z,2024-05-30T16:02:19.930000Z,,2024-05-30T16:02:24.607005Z,139.0,CYPBKY9Q,1776,"Visa, MasterCard",35,Male,White,France,United States,France,French,No,Full-Time
6658a3b1ae5fbc9460b868b8,663e3f5d23eb523ca0ac5087,AWAITING REVIEW,Not Applicable,2024-05-30T16:05:10.489000Z,2024-05-30T16:08:31.365000Z,,2024-05-30T16:09:27.744510Z,201.0,CYPBKY9Q,16,"Visa, MasterCard",24,Female,White,United States,United States,United States,English,Yes,Full-Time
6658a3c032d812bf71f2063e,66310c6c9a623bd91107fe49,AWAITING REVIEW,Not Applicable,2024-05-30T16:05:24.754000Z,2024-05-30T16:08:10.803000Z,,2024-05-30T16:09:23.187502Z,167.0,CYPBKY9Q,48,"Visa, MasterCard",36,Female,Asian,China,United States,China,Chinese,No,Full-Time
6658a46c3091c78b91e6eaa3,5d16ea1a6be726001a39cab2,AWAITING REVIEW,Not Applicable,2024-05-30T16:08:17.480000Z,2024-05-30T16:11:59.778000Z,,2024-05-30T16:12:00.215443Z,223.0,CYPBKY9Q,801,"Visa, MasterCard",34,Male,White,United States,United States,United States,English,No,Full-Time
6658a4fdbc36ded0ffe46b46,59d3b5239e5232000164bbef,AWAITING REVIEW,Not Applicable,2024-05-30T16:10:42.413000Z,2024-05-30T16:13:51.092000Z,,2024-05-30T16:13:51.624573Z,189.0,CYPBKY9Q,1950,American Express,63,Female,White,United Kingdom,United States,United Kingdom,English,No,Part-Time
6658a566e10dd33224969bdb,66578b3f19230c3dbd18f67c,AWAITING REVIEW,Not Applicable,2024-05-30T16:12:29.024000Z,2024-05-30T16:17:12.213000Z,,2024-05-30T16:17:12.796882Z,284.0,CYPBKY9Q,6,"Visa, MasterCard, American Express, Other",44,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
6658a5d9c0f839493f86607d,66567a5b9844b9e869fdefee,AWAITING REVIEW,Not Applicable,2024-05-30T16:14:20.290000Z,2024-05-30T16:19:22.858000Z,,2024-05-30T16:19:23.759767Z,303.0,CYPBKY9Q,22,"Visa, MasterCard, American Express",54,Female,Asian,Pakistan,United States,United States,Urdu,No,Unemployed (and job seeking)
6658a6190e60d5ab8083de7a,65789562827c7ec39bde488d,AWAITING REVIEW,Not Applicable,2024-05-30T16:15:26.080000Z,2024-05-30T16:19:52.171000Z,,2024-05-30T16:20:10.049837Z,267.0,CYPBKY9Q,121,"American Express, Visa, Other",61,Female,Other,Cuba,United States,Cuba,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6658a62640c46f5b11fb395a,6654887911eea2b5e8be027d,AWAITING REVIEW,Not Applicable,2024-05-30T16:15:42.689000Z,2024-05-30T16:21:34.920000Z,,2024-05-30T16:22:02.609815Z,353.0,CYPBKY9Q,13,"Visa, MasterCard, American Express",30,Male,Asian,Bangladesh,United States,Bangladesh,English,Yes,Part-Time
6658a64331847f8a05c3d001,65bfa23633274138661c0578,AWAITING REVIEW,Not Applicable,2024-05-30T16:16:07.204000Z,2024-05-30T16:19:20.065000Z,,2024-05-30T16:19:21.233046Z,193.0,CYPBKY9Q,5,"Visa, Other",45,Female,Other,United States,United States,Mexico,English,No,Part-Time
