Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Credit cards,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
666b1567e390dbfb6f8cff33,664162a0a6d54764ead4c0bb,APPROVED,Not Applicable,2024-06-13T15:51:23.089000Z,2024-06-13T15:55:54.115000Z,2024-06-14T10:53:45.064000Z,2024-06-13T15:58:01.609809Z,272.0,CNJ99TX5,50,Visa,23,Male,White,United States,United States,United States,English,No,Part-Time
666b16c243f6b1042e6c3cc0,5c60b4802100f70001a3e137,APPROVED,Not Applicable,2024-06-13T15:56:55.238000Z,2024-06-13T16:00:14.858000Z,2024-06-14T10:53:45.521000Z,2024-06-13T16:00:16.390642Z,200.0,CNJ99TX5,691,Visa,33,Male,White,Macedonia,United States,Macedonia,Macedonian,No,Full-Time
666b17d8786467987a859e7b,5ed3f052f01c843a59a8b73b,AWAITING REVIEW,Not Applicable,2024-06-13T16:01:35.101000Z,2024-06-13T16:05:16.500000Z,,2024-06-13T16:06:46.428219Z,222.0,CNJ99TX5,379,MasterCard,29,Female,White,United States,United States,United States,English,No,Full-Time
666b17d96fb3b047eb1333d9,64d540d9cf2b0251793eccf1,AWAITING REVIEW,Not Applicable,2024-06-13T16:01:42.790000Z,2024-06-13T16:10:16.724000Z,,2024-06-13T16:10:17.298534Z,514.0,CNJ99TX5,35,"Visa, MasterCard, Other",49,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
666b188d7cac0c005ccc338f,5f7b79a3e087e414513eb8c9,AWAITING REVIEW,Not Applicable,2024-06-13T16:04:37.873000Z,2024-06-13T16:07:58.239000Z,,2024-06-13T16:09:07.100917Z,201.0,CNJ99TX5,749,"Visa, MasterCard, Other",57,Female,White,United States,United States,Italy,English,No,Full-Time
666b18c55154e47c4846a737,62f48ec3d148eaece3a0c3c7,APPROVED,Not Applicable,2024-06-13T16:05:31.040000Z,2024-06-13T16:09:18.692000Z,2024-06-14T10:53:45.831000Z,2024-06-13T16:09:19.325521Z,228.0,CNJ99TX5,321,"Visa, MasterCard",44,Male,Asian,United States,United States,Japan,English,No,Full-Time
666b18d89b6f4b6485e2be1d,60db5ecdeb02fb19922a852b,AWAITING REVIEW,Not Applicable,2024-06-13T16:05:50.406000Z,2024-06-13T16:10:19.031000Z,,2024-06-13T16:10:19.774184Z,269.0,CNJ99TX5,716,"Visa, Other",58,Female,Other,United States,United States,Poland,English,No,Full-Time
666b19f124f500cd135ba729,5e4db97c679288216771f059,AWAITING REVIEW,Not Applicable,2024-06-13T16:10:28.701000Z,2024-06-13T16:17:23.679000Z,,2024-06-13T16:18:51.764648Z,415.0,CNJ99TX5,1940,Visa,54,Female,Asian,Indonesia,United States,Indonesia,Indonesian,No,Unemployed (and job seeking)
666b1a4290324e3d47d3e44f,5eb521388aa232399be96825,AWAITING REVIEW,Not Applicable,2024-06-13T16:12:09.216000Z,2024-06-13T16:17:46.019000Z,,2024-06-13T16:18:54.837394Z,337.0,CNJ99TX5,1123,MasterCard,59,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
666b1a51262d0f8bd8c76d30,6664c9aa5e9d93996c790a6e,AWAITING REVIEW,Not Applicable,2024-06-13T16:12:04.811000Z,2024-06-13T16:15:42.177000Z,,2024-06-13T16:17:34.798078Z,218.0,CNJ99TX5,16,Visa,113,Female,White,Iran,United States,Iran,Farsi,No,Full-Time
