Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Credit cards,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
663d21bf16a75e8d904853fd,5dddfaa2c0823fd714c5babf,AWAITING REVIEW,Not Applicable,2024-05-09T19:19:37.874000Z,2024-05-09T19:21:53.365000Z,,2024-05-09T19:22:57.823781Z,136.0,C13R0TW9,2309,"Visa, MasterCard, American Express",25,Male,Mixed,United States,United States,United States,English,No,Full-Time
663d220a2efe0b27087f53f2,60e744cb828b0b3d21466737,AWAITING REVIEW,Not Applicable,2024-05-09T19:20:56.829000Z,2024-05-09T19:25:20.178000Z,,2024-05-09T19:25:20.758722Z,264.0,C13R0TW9,313,Visa,40,Female,White,Poland,United States,Poland,Polish,No,Full-Time
663d226ceb0ebdad2355968a,61105071fe05cd89830dcc43,AWAITING REVIEW,Not Applicable,2024-05-09T19:22:27.991000Z,2024-05-09T19:26:11.173000Z,,2024-05-09T19:26:11.752953Z,224.0,C13R0TW9,792,MasterCard,23,Female,Mixed,Canada,United States,Canada,English,DATA_EXPIRED,DATA_EXPIRED
663d22778e699e6d414a80d0,60bcffb205c73cc151d61c8c,AWAITING REVIEW,Not Applicable,2024-05-09T19:22:36.585000Z,2024-05-09T19:26:42.616000Z,,2024-05-09T19:26:43.715297Z,247.0,C13R0TW9,376,"Visa, MasterCard",27,Female,White,United States,United States,Italy,English,Yes,Unemployed (and job seeking)
663d229e120edf551cc4f4c5,65e624f4a3f2af9453e5bc48,AWAITING REVIEW,Not Applicable,2024-05-09T19:23:15.706000Z,2024-05-09T19:31:35.608000Z,,2024-05-09T19:33:18.733613Z,500.0,C13R0TW9,225,Visa,50,Male,White,Hungary,United States,Hungary,Hungarian,No,Part-Time
663d22a8c21fab23192ce821,5d69ac222b85a000015e352f,AWAITING REVIEW,Not Applicable,2024-05-09T19:23:25.463000Z,2024-05-09T19:31:51.765000Z,,2024-05-09T19:33:29.188138Z,507.0,C13R0TW9,3523,"Visa, MasterCard",37,Female,Black,United States,United States,United States,English,DATA_EXPIRED,Full-Time
663d22c1ff6673a29c3b2298,6630e9d18674ca1cf140138b,AWAITING REVIEW,Not Applicable,2024-05-09T19:23:49.295000Z,2024-05-09T19:31:32.621000Z,,2024-05-09T19:33:18.237891Z,464.0,C13R0TW9,26,"Visa, MasterCard",41,Female,Asian,Philippines,United States,Philippines,Tagalog-Filipino,No,Part-Time
663d22ca5dc0f123029a7614,5c7afb18de6f7900150c33d2,AWAITING REVIEW,Not Applicable,2024-05-09T19:24:02.190000Z,2024-05-09T19:33:04.718000Z,,2024-05-09T19:33:54.512610Z,543.0,C13R0TW9,2322,"Visa, MasterCard",71,Male,White,United States,United States,United States,English,DATA_EXPIRED,"Not in paid work (e.g. homemaker', 'retired or disabled)"
663d22ca9a16399aeeb2b8e5,65f284445bd9d57a7c6c634f,AWAITING REVIEW,Not Applicable,2024-05-09T19:24:02.878000Z,2024-05-09T19:33:51.149000Z,,2024-05-09T19:34:10.577792Z,589.0,C13R0TW9,80,"Visa, MasterCard",42,Female,Asian,India,United States,India,English,No,Unemployed (and job seeking)
663d22d3945c196380e91a73,6100496a0ef6706b8895cbf7,AWAITING REVIEW,Not Applicable,2024-05-09T19:24:10.856000Z,2024-05-09T19:31:13.841000Z,,2024-05-09T19:33:15.339094Z,423.0,C13R0TW9,1826,"Visa, MasterCard, Other",27,Female,White,United States,United States,United States,English,Yes,DATA_EXPIRED
663d23425e508edb2af8293f,5b9e2f45f07414000105160b,AWAITING REVIEW,Not Applicable,2024-05-09T19:26:01.008000Z,2024-05-09T19:29:29.799000Z,,2024-05-09T19:29:30.332419Z,209.0,C13R0TW9,575,"Visa, MasterCard",32,Female,Mixed,United States,United States,United States,English,Yes,Part-Time
663d2358f15368bab6c849ad,65628f277bcd810f66b36764,RETURNED,Not Applicable,2024-05-09T19:26:21.734000Z,,,2024-05-09T19:48:15.740132Z,,,512,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
663d2378328d12f9295e68f6,60f32446bc4e09f52b37a56d,AWAITING REVIEW,Not Applicable,2024-05-09T19:26:55.129000Z,2024-05-09T19:38:59.038000Z,,2024-05-09T19:38:59.901116Z,724.0,C13R0TW9,1865,"Visa, MasterCard",75,Male,White,United States,United States,Italy,English,No,DATA_EXPIRED
