"","Progress","Duration..in.seconds.","Finished","UserLanguage","I2_1","I2_2","E3","E4","Cnos","Cnos_3_TEXT","Calto.","Calto._3_TEXT","Cbajo","Cbajo_3_TEXT","Tnos.","Tnos._3_TEXT","Talto.","Talto._3_TEXT","Tbajo","Tbajo_3_TEXT","P0_time_First.Click","P0_time_Last.Click","P0_time_Page.Submit","P0_time_Click.Count","Cnos_deu_fac.","Cnos_deu_fac._4_TEXT","Cdeu_fac.","Cdeu_fac._4_TEXT","Tnos_deu_fac.","Tnos_deu_fac._4_TEXT","Tdeu_fac.","Tdeu_fac._4_TEXT","Cnos_deu.","Cnos_deu._4_TEXT","Calto_deu","Calto_deu_4_TEXT","Cbajo_deu.","Cbajo_deu._4_TEXT","Tnos_deu.","Tnos_deu._4_TEXT","Talto_deu","Talto_deu_4_TEXT","Tbajo_deu.","Tbajo_deu._4_TEXT","Cnos_deu_min.","Cnos_deu_min._4_TEXT","Calto_deu_min","Calto_deu_min_4_TEXT","Cbajo_deu_min.","Cbajo_deu_min._4_TEXT","Tnos_deu_min.","Tnos_deu_min._4_TEXT","Talto_deu_min","Talto_deu_min_4_TEXT","Tbajo_deu_min.","Tbajo_deu_min._4_TEXT","Cnos_deu.min.","Cnos_deu.min._4_TEXT","Calto_deu.min","Calto_deu.min_4_TEXT","Cbajo_deu.min.","Cbajo_deu.min._4_TEXT","Tnos_deu.min.","Tnos_deu.min._4_TEXT","Talto_deu.min.","Talto_deu.min._4_TEXT","Tbajo_deu.min.","Tbajo_deu.min._4_TEXT","Cnos_int_fac.","Cnos_int_fac._4_TEXT","Cint_fac.","Cint_fac._4_TEXT","Tnos_int_fac.","Tnos_int_fac._4_TEXT","Tint_fac.","Tint_fac._4_TEXT","Cnos_int.","Cnos_int._20_TEXT","Calto_int","Calto_int_20_TEXT","Cbajo_int.","Cbajo_int._20_TEXT","Tnos_int.","Tnos_int._20_TEXT","Talto_int","Talto_int_20_TEXT","Tbajo_int.","Tbajo_int._20_TEXT","Cnos_int_min.","Cnos_int_min._4_TEXT","Calto_int_min","Calto_int_min_4_TEXT","Cbajo_int_min.","Cbajo_int_min._4_TEXT","Tnos_int_min.","Tnos_int_min._4_TEXT","Talto_int_min","Talto_int_min_4_TEXT","Tbajo_int_min.","Tbajo_int_min._4_TEXT","Cnos_int.min.","Cnos_int.min._4_TEXT","Calto_int.min","Calto_int.min_4_TEXT","Cbajo_int.min.","Cbajo_int.min._4_TEXT","Tnos_int.min.","Tnos_int.min._4_TEXT","Talto_int.min.","Talto_int.min._4_TEXT","Tbajo_int.min.","Tbajo_int.min._4_TEXT","P1_time._First.Click","P1_time._Last.Click","P1_time._Page.Submit","P1_time._Click.Count","TC1._1","TC1._2","TC1._3","TC1._4","TC1._5","TC1._6","TC2.","TC2._8_TEXT","LF1.","LF2.","LF3.","PS1._1","PS1._2","DS1.","C1.","C1._10_TEXT","C2.","C3.","PA1","ticket","treat","fac","min","saldo","s","g","int","deuda","int2","deuda2","pago","prog","gse","LC1","LC2","LC3","LC","treat0","treat00","treat1","treat11","y0","Cnosy0","Cy0","op","Tnosy0","Ty0","less0","min0","otro0","total0","y1","op2","share_p0","share_p1","less1","min1","otro1","total1"
"1",100,510,"True","ES","Sí","Sí","Usé una sola tarjeta de crédito","Hace menos de un mes","Total a pagar","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6.238","7.503","11.103","2","Total a pagar",NA,"NA","NA","NA",NA,"NA","NA","NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA","NA","NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"5.844","7.495","8.005","3","Siempre5","Casi nunca2","Nunca1","Nunca1","Nunca1","Nunca1","De forma digital (aplicación o página Web) de su banco o casa comercial","NA","Verdadero","$100.000 recibidos hoy y luego colocados en una cuenta de ahorros a una tasa del 10% de interés compuesto anualmente","$ 12.000","2","5","Compra en la tienda que está más lejos","Empleado/a","NA","De $500.001 a $1.000.000","Estudios de Postgrado","Evitar pagar más por intereses, y que nunca compro con crédito si no tengo los fondos en la cuenta corriente","57f6f7f5b39cb577_194fcf79a1c3965a_044bf447a47bf724_81ad5c68be096b8887badb2d9ce774d3","Cdeu",282026,42304,"1000000",2,2,"9194","291220","39173","321199","0",100,"ABC1",0,1,0,1,"C",0,"D",1,282026,NA,NA,"total",NA,NA,0,0,0,1,282026,"total",1,1,0,0,0,1
"2",100,251,"True","ES","Sí","Sí","Usé una sola tarjeta de crédito","Hace más de un mes, pero menos de 6 meses","Pago mínimo","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","10.519","13.349","14.33","3","NA",NA,"NA","NA","NA",NA,"NA","NA","NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"Pago mínimo",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA","NA","NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"5.627","7.164","7.7","2","A veces3","Nunca1","Casi nunca2","Nunca1","Siempre5","Nunca1","De forma digital (aplicación o página Web) de su banco o casa comercial","NA","Falso","No estoy seguro/a","$ 1.000","Nada
1
","Mucho
7
","Compra en la tienda que está más lejos","Estudiante","NA","Menos de $250.000","Algún estudio universitario o técnico (incompleto)","El dinero que tengo
El dinero que puedo llegar a tener","6f3a20f403812888_194fcf79a1c3965a_044bf447a47bf724_54da4d315f2ed02586705c9ce5f564cf","Cdeu",282026,42304,"1000000",2,7,"9194","291220","39173","321199","0",100,"DE",1,0,1,2,"C",0,"D",1,42304,NA,NA,"min",NA,NA,0,1,0,0,42304,"min",0.150000354577238,0.150000354577238,0,1,0,0
"3",100,556,"True","ES","Sí","Sí","Usé 2 tarjetas de crédito","Hace menos de un mes","Total a pagar","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6.243","6.243","8.886","1","NA",NA,"NA","NA","NA",NA,"NA","NA","NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"Total a pagar",NA,"NA","NA","NA",NA,"NA","NA","NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"0","0","13.587","0","Casi siempre4","A veces3","Nunca1","Nunca1","Nunca1","Nunca1","De forma digital (aplicación o página Web) de su banco o casa comercial","NA","Falso","Valdrían lo mismo","$ 1.000","5","6","Compra en la tienda","Pensionado/a","NA","De $1.000.001 a $1.500.000","Algún estudio universitario o técnico (incompleto)","Las tarjetas de crédito son caras por sus intereses, es por eso que nunca pago el monto mínimo, trato de pagar la menor cantidad de interés.","186c3264bb6cf342_194fcf79a1c3965a_d9dc9324856330af_11f2938f889cf9e8cb359e869c840eec","Cint",282026,42304,"1000000",1,2,"9194","291220","39173","321199","0",100,"ABC1",1,0,1,2,"C",0,"I",0,282026,NA,NA,"total",NA,NA,0,0,0,1,282026,"total",1,1,0,0,0,1
"4",100,782,"True","ES","Sí","Sí","Usé 3 o más tarjetas de crédito","Hace menos de un mes","Total a pagar","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6.606","9.773","12.062","3","NA",NA,"NA","NA","NA",NA,"NA","NA","NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"Total a pagar",NA,"NA","NA","NA",NA,"NA","NA","NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"7.864","7.864","8.77","1","Casi siempre4","A veces3","A veces3","Nunca1","Nunca1","Casi nunca2","De forma digital (aplicación o página Web) de su banco o casa comercial","NA","No estoy seguro/a","No estoy seguro/a","No estoy seguro","3","2","Compra en la tienda que está más lejos","Empleado/a","NA","De $2.000.001 a $3.000.001","Título universitario o técnico","Aprovechar de comprar alguna oferta y con cuotas sin interés ","c13cfffcd2f24f06_194fcf79a1c3965a_044bf447a47bf724_d3799897173e57c911f3c1f30b247505","Cint",282026,42304,"1000000",1,3,"9194","291220","39173","321199","0",100,"ABC1",0,0,0,0,"C",0,"I",0,282026,NA,NA,"total",NA,NA,0,0,0,1,282026,"total",1,1,0,0,0,1
"5",100,565,"True","ES","Sí","Sí","Usé 2 tarjetas de crédito","Hace más de un mes, pero menos de 6 meses","NA","NA","NA","NA","NA","NA","
Total a pagar
Al pagar el total, evitarás intereses adicionales y gastos de cobranza.

","NA","NA","NA","NA","NA","5.258","12.967","13.699","3","NA",NA,"NA","NA","Total a pagar
Al pagar el total, evitarás intereses adicionales y gastos de cobranza.",NA,"NA","NA","NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA","NA","NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"10.675","13.401","13.99","4","Siempre5","Siempre5","Nunca1","Nunca1","Nunca1","Nunca1","De forma digital (aplicación o página Web) de su banco o casa comercial","NA","Falso","$100.000 recibidos hoy y luego colocados en una cuenta de ahorros a una tasa del 10% de interés compuesto anualmente","$ 1.000","Nada
1
","Mucho
7
","Compra en la tienda","Pensionado/a","NA","De $1.500.001 a $2.000.000","Título universitario o técnico","Evitar intereses sobre saldo insoluto","abdb3692ba604406_194fcf79a1c3965a_d9dc9324856330af_abe7b3beedfe900691eb320aa4d59bdc","Tdeu",282026,42304,"1000000",1,3,"9194","291220","39173","321199","0",100,"ABC1",1,1,1,3,"T",1,"D",1,282026,NA,NA,"total",NA,NA,0,0,0,1,282026,"total",1,1,0,0,0,1
"6",100,659,"True","ES","Sí","Sí","Usé 2 tarjetas de crédito","Hace menos de un mes","Total a pagar","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4.281","4.281","7.011","1","Total a pagar",NA,"NA","NA","NA",NA,"NA","NA","NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA","NA","NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"0","0","8.439","0","Siempre5","Nunca1","Nunca1","Nunca1","Nunca1","Casi nunca2","De forma automática pagando el monto total","NA","Falso","$100.000 recibidos hoy y luego colocados en una cuenta de ahorros a una tasa del 10% de interés compuesto anualmente","No estoy seguro","Nada
1
","Nada
1
","Compra en la tienda que está más lejos","Pensionado/a","NA","De $1.500.001 a $2.000.000","Título universitario o técnico","evitar intereses. ","dd708ab665ad86f6_194fcf79a1c3965a_044bf447a47bf724_b77cd7bf5eea1f60a74f3f5d077b5f09","Cdeu",282026,42304,"1000000",1,3,"9194","291220","39173","321199","0",100,"ABC1",1,1,0,2,"C",0,"D",1,282026,NA,NA,"total",NA,NA,0,0,0,1,282026,"total",1,1,0,0,0,1
"7",83,172,"False","ES","Sí","Sí","Usé una sola tarjeta de crédito","Hace más de 6 meses, pero menos de un año","Otro monto:","60000","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","12.125","17.8","21.071","2","NA",NA,"NA","NA","NA",NA,"NA","NA","Otro monto:",120000,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA","NA","NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"4.628","21.924","22.502","6","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","9177a1c4c640f12b_194fcf79a1c3965a_d9dc9324856330af_56540823b8bfb59909a2db1104ed8463","Cdeu",282026,42304,"1000000",1,5,"7238","229264","36239","258265","60000",83,"C3",0,0,0,0,"C",0,"D",1,60000,60000,NA,"otro",NA,NA,0,0,1,0,120000,"otro",0.212746342535795,0.425492685071589,0,0,1,0
"8",100,245,"True","ES","Sí","Sí","Usé una sola tarjeta de crédito","Hace más de un mes, pero menos de 6 meses","NA","NA","NA","NA","NA","NA","Pago mínimo
Al pagar el mínimo, pagarás intereses adicionales pero evitarás gastos de cobranza.","NA","NA","NA","NA","NA","15.029","19.075","20.101","4","NA",NA,"NA","NA","NA",NA,"NA","NA","NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"Otro monto:
A mayor monto, pagarás menos intereses adicionales. Pagarás gastos de cobranza si pagas menos que el mínimo.",1e+05,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA","NA","NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"4.792","16.493","21.655","7","A veces3","A veces3","Casi nunca2","Nunca1","Nunca1","Casi nunca2","De forma presencial","NA","Verdadero","$100.000 recibidos hoy y luego colocados en una cuenta de ahorros a una tasa del 10% de interés compuesto anualmente","$ 12.000","4","3","Compra en la tienda que está más lejos","Empleado/a","NA","De $1.000.001 a $1.500.000","Título universitario o técnico","No aplazar tanto la deuda por el intrtes","dfccac3afd987474_194fcf79a1c3965a_044bf447a47bf724_fe0d33e7a529a96c0c605172bb4c2e20","Tdeu",282026,42304,"1000000",1,4,"9194","291220","39173","321199","0",100,"C2",0,1,0,1,"T",1,"D",1,42304,NA,NA,"min",NA,NA,0,1,0,0,1e+05,"otro",0.150000354577238,0.354577237559658,0,0,1,0
"9",100,359,"True","ES","Sí","Sí","Usé una sola tarjeta de crédito","Hace más de 6 meses, pero menos de un año","Total a pagar","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","9.687","15.805","18.205","2","NA",NA,"NA","NA","NA",NA,"NA","NA","NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"Total a pagar",NA,"NA","NA","NA",NA,"NA","NA","NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"5.995","7.73","8.494","3","Casi siempre4","Casi nunca2","Nunca1","Nunca1","Nunca1","Nunca1","De forma digital (aplicación o página Web) de su banco o casa comercial","NA","Falso","$100.000 recibidos hoy y luego colocados en una cuenta de ahorros a una tasa del 10% de interés compuesto anualmente","$ 1.000","Nada
1
","Mucho
7
","Compra en la tienda","Pensionado/a","NA","De $500.001 a $1.000.000","Título universitario o técnico","Era como hacer una compra al contado, con un desfase de días.","9ab5151386379258_194fcf79a1c3965a_044bf447a47bf724_3aec6004e3d3820590b0c2e12a65b00d","Cint",282026,42304,"1000000",1,3,"9194","291220","39173","321199","0",100,"ABC1",1,1,1,3,"C",0,"I",0,282026,NA,NA,"total",NA,NA,0,0,0,1,282026,"total",1,1,0,0,0,1
"10",100,212,"True","ES","Sí","Sí","Usé una sola tarjeta de crédito","Hace menos de un mes","NA","NA","NA","NA","NA","NA","Pago mínimo
Al pagar el mínimo, pagarás intereses adicionales pero evitarás gastos de cobranza.","NA","NA","NA","NA","NA","18.744","18.744","24.822","1","NA",NA,"NA","NA","NA",NA,"NA","NA","NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA","NA","NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"Otro monto:
A mayor monto, pagarás menos intereses adicionales. Pagarás gastos de cobranza si pagas menos que el mínimo.",140000,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"9.569","11.233","17.784","2","A veces3","Casi siempre4","A veces3","Nunca1","Nunca1","Nunca1","De forma digital (aplicación o página Web) de su banco o casa comercial","NA","No estoy seguro/a","No estoy seguro/a","No estoy seguro","4","4","Compra en la tienda que está más lejos","Empleado/a","NA","De $1.000.001 a $1.500.000","Título universitario o técnico","NA","a6c565aaa9689141_194fcf79a1c3965a_8a5b78d36dcdd955_c50935b23274d51888cd9b2081ed7eb9","Tint",282026,42304,"1000000",2,2,"9194","291220","39173","321199","0",100,"ABC1",0,0,0,0,"T",1,"I",0,42304,NA,NA,"min",NA,NA,0,1,0,0,140000,"otro",0.150000354577238,0.496408132583521,0,0,1,0
