"Progress","Duration..in.seconds.","Finished","UserLanguage","I2_1","I2_2","E3","E4","Cnos","Cnos_3_TEXT","Calto.","Calto._3_TEXT","Cbajo","Cbajo_3_TEXT","Tnos.","Tnos._3_TEXT","Talto.","Talto._3_TEXT","Tbajo","Tbajo_3_TEXT","P0_time_First.Click","P0_time_Last.Click","P0_time_Page.Submit","P0_time_Click.Count","Cnos_deu_fac.","Cnos_deu_fac._4_TEXT","Cdeu_fac.","Cdeu_fac._4_TEXT","Tnos_deu_fac.","Tnos_deu_fac._4_TEXT","Tdeu_fac.","Tdeu_fac._4_TEXT","Cnos_deu.","Cnos_deu._4_TEXT","Calto_deu","Calto_deu_4_TEXT","Cbajo_deu.","Cbajo_deu._4_TEXT","Tnos_deu.","Tnos_deu._4_TEXT","Talto_deu","Talto_deu_4_TEXT","Tbajo_deu.","Tbajo_deu._4_TEXT","Cnos_deu_min.","Cnos_deu_min._4_TEXT","Calto_deu_min","Calto_deu_min_4_TEXT","Cbajo_deu_min.","Cbajo_deu_min._4_TEXT","Tnos_deu_min.","Tnos_deu_min._4_TEXT","Talto_deu_min","Talto_deu_min_4_TEXT","Tbajo_deu_min.","Tbajo_deu_min._4_TEXT","Cnos_deu.min.","Cnos_deu.min._4_TEXT","Calto_deu.min","Calto_deu.min_4_TEXT","Cbajo_deu.min.","Cbajo_deu.min._4_TEXT","Tnos_deu.min.","Tnos_deu.min._4_TEXT","Talto_deu.min.","Talto_deu.min._4_TEXT","Tbajo_deu.min.","Tbajo_deu.min._4_TEXT","Cnos_int_fac.","Cnos_int_fac._4_TEXT","Cint_fac.","Cint_fac._4_TEXT","Tnos_int_fac.","Tnos_int_fac._4_TEXT","Tint_fac.","Tint_fac._4_TEXT","Cnos_int.","Cnos_int._20_TEXT","Calto_int","Calto_int_20_TEXT","Cbajo_int.","Cbajo_int._20_TEXT","Tnos_int.","Tnos_int._20_TEXT","Talto_int","Talto_int_20_TEXT","Tbajo_int.","Tbajo_int._20_TEXT","Cnos_int_min.","Cnos_int_min._4_TEXT","Calto_int_min","Calto_int_min_4_TEXT","Cbajo_int_min.","Cbajo_int_min._4_TEXT","Tnos_int_min.","Tnos_int_min._4_TEXT","Talto_int_min","Talto_int_min_4_TEXT","Tbajo_int_min.","Tbajo_int_min._4_TEXT","Cnos_int.min.","Cnos_int.min._4_TEXT","Calto_int.min","Calto_int.min_4_TEXT","Cbajo_int.min.","Cbajo_int.min._4_TEXT","Tnos_int.min.","Tnos_int.min._4_TEXT","Talto_int.min.","Talto_int.min._4_TEXT","Tbajo_int.min.","Tbajo_int.min._4_TEXT","P1_time._First.Click","P1_time._Last.Click","P1_time._Page.Submit","P1_time._Click.Count","TC1._1","TC1._2","TC1._3","TC1._4","TC1._5","TC1._6","TC2.","TC2._8_TEXT","LF1.","LF2.","LF3.","PS1._1","PS1._2","DS1.","C1.","C1._10_TEXT","C2.","C3.","PA1","ticket","treat","fac","min","saldo","s","g","int","deuda","int2","deuda2","pago"
"100","19","True","ES","Sí","Sí","No tengo o no he usado tarjeta de crédito","No tengo o no uso tarjeta de crédito",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2mlt1j8ew3mh8lxl_194fcf79a1c3965a_044bf447a47bf724_3cfd67a4c454163ee00084a9e4ab3d8d",NA,NA,NA,NA,"1","4",NA,NA,NA,NA,NA
"100","510","True","ES","Sí","Sí","Usé una sola tarjeta de crédito","Hace menos de un mes","Total a pagar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.238","7.503","11.103","2","Total a pagar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.844","7.495","8.005","3","Siempre5","Casi nunca2","Nunca1","Nunca1","Nunca1","Nunca1","De forma digital (aplicación o página Web) de su banco o casa comercial",NA,"Verdadero","$100.000 recibidos hoy y luego colocados en una cuenta de ahorros a una tasa del 10% de interés compuesto anualmente","$ 12.000","2","5","Compra en la tienda que está más lejos","Empleado/a",NA,"De $500.001 a $1.000.000","Estudios de Postgrado","Evitar pagar más por intereses, y que nunca compro con crédito si no tengo los fondos en la cuenta corriente","57f6f7f5b39cb577_194fcf79a1c3965a_044bf447a47bf724_81ad5c68be096b8887badb2d9ce774d3","Cdeu",282026,42304,"1000000","2","2","9194","291220","39173","321199","0"
"100","404","True","ES","Sí","Sí","Usé una sola tarjeta de crédito","Hace menos de un mes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pago mínimo
Al pagar el mínimo, pagarás intereses adicionales pero evitarás gastos de cobranza.",NA,"9.452","9.452","12.335","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pago mínimo
Al pagar el mínimo, pagarás intereses adicionales pero evitarás gastos de cobranza.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","11.074","0","Casi siempre4","A veces3","A veces3","Nunca1","Nunca1","Nunca1","De forma digital (aplicación o página Web) de su banco o casa comercial",NA,"Falso","Valdrían lo mismo","$ 1.000","4","Mucho
7
","Compra en la tienda","Empleado/a",NA,"De $1.000.001 a $1.500.000","Estudios de Postgrado","La cantidad de dinero que me iba a quedar para vivir el resto del mes.","50b5693bcf67b747_194fcf79a1c3965a_044bf447a47bf724_c3503e5c6772a94b15a2fd2f9bcb8990","Tint",282026,42304,"211520","2","2","9194","291220","39173","321199","0"
"93","251","False","ES","Sí","Sí","Usé 2 tarjetas de crédito","Hace menos de un mes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Otro monto:
A mayor monto, pagarás menos intereses adicionales. Pagarás gastos de cobranza si pagas menos que el mínimo.
","60000","11.408","19.214","20.08","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Otro monto:
A mayor monto, pagarás menos intereses adicionales. Pagarás gastos de cobranza si pagas menos que el mínimo.",60000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.654","12.49","13.297","4","Casi siempre4","Casi siempre4","Casi nunca2","Nunca1","Nunca1","Nunca1","De forma digital (aplicación o página Web) de su banco o casa comercial",NA,"No estoy seguro/a","No estoy seguro/a","No estoy seguro","3","3","Compra en la tienda que está más lejos",NA,NA,NA,NA,NA,"fda7471305682fd9_194fcf79a1c3965a_044bf447a47bf724_8dcc6bd40019433c64082757529a559c","Tint",282026,42304,"211520","1","5","7238","229264","36239","258265","60000"
"100","459","True","ES","Sí","Sí","Usé una sola tarjeta de crédito","Hace menos de un mes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Otro monto:
A mayor monto, pagarás menos intereses adicionales. Pagarás gastos de cobranza si pagas menos que el mínimo.
","205000","28.859","41.414","48.689","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Otro monto:
A mayor monto, pagarás menos intereses adicionales. Pagarás gastos de cobranza si pagas menos que el mínimo.",205000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18.7","21.402","23.425","3","Siempre5","Nunca1","Nunca1","Nunca1","Nunca1","Nunca1","De forma digital (aplicación o página Web) de su banco o casa comercial",NA,"Falso","Valdrían lo mismo","$ 1.000","5","3","Compra en la tienda que está más lejos","Estudiante",NA,"Menos de $250.000","Educación media completa","Consideré que no tenía línea de crédito por lo que prefería pagar un monto alto pero tampoco el total porque no me iba a dar la cuenta, y así ahorrar sabiendo la deuda que iba a tener al siguiente mes.","634d09f54a2c28f6_194fcf79a1c3965a_d7a8f759bb35927c_6ddd4812bd5a2882d535a3287289b105","Tdeu",282026,42304,"211520","2","5","2511","79537","29149","106175","205000"
"100","792","True","ES","Sí","Sí","Usé 2 tarjetas de crédito","Hace menos de un mes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pago mínimo
Al pagar el mínimo, pagarás intereses adicionales pero evitarás gastos de cobranza.",NA,"11.685","16.962","20.072","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Otro monto:
A mayor monto, pagarás menos intereses adicionales. Pagarás gastos de cobranza si pagas menos que el mínimo.",1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.21","8.801","13.99","4","Casi nunca2","Casi siempre4","A veces3","Nunca1","Nunca1","Casi nunca2","De forma digital (aplicación o página Web) de su banco o casa comercial",NA,"No estoy seguro/a","Valdrían lo mismo","$ 1.000","3","6","Compra en la tienda","Empleado/a",NA,"De $1.000.001 a $1.500.000","Título universitario o técnico","Con cuanto dinero me quedaría disponible ","718b1f2faf324970_194fcf79a1c3965a_044bf447a47bf724_c25df3be3874b78c2df5b67c14b255c3","Tint",282026,42304,"211520","2","3","9194","291220","39173","321199","0"
"100","251","True","ES","Sí","Sí","Usé una sola tarjeta de crédito","Hace más de un mes, pero menos de 6 meses","Pago mínimo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.519","13.349","14.33","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pago mínimo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.627","7.164","7.7","2","A veces3","Nunca1","Casi nunca2","Nunca1","Siempre5","Nunca1","De forma digital (aplicación o página Web) de su banco o casa comercial",NA,"Falso","No estoy seguro/a","$ 1.000","Nada
1
","Mucho
7
","Compra en la tienda que está más lejos","Estudiante",NA,"Menos de $250.000","Algún estudio universitario o técnico (incompleto)","El dinero que tengo
El dinero que puedo llegar a tener","6f3a20f403812888_194fcf79a1c3965a_044bf447a47bf724_54da4d315f2ed02586705c9ce5f564cf","Cdeu",282026,42304,"1000000","2","7","9194","291220","39173","321199","0"
"100","69","True","ES","Sí","Sí","No tengo o no he usado tarjeta de crédito","No tengo o no uso tarjeta de crédito",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"88d9bbb1989d5714_194fcf79a1c3965a_044bf447a47bf724_4ec07798c4657bca26757db1dbb1e448",NA,NA,NA,NA,"2","6",NA,NA,NA,NA,NA
"100","556","True","ES","Sí","Sí","Usé 2 tarjetas de crédito","Hace menos de un mes","Total a pagar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.243","6.243","8.886","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total a pagar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","13.587","0","Casi siempre4","A veces3","Nunca1","Nunca1","Nunca1","Nunca1","De forma digital (aplicación o página Web) de su banco o casa comercial",NA,"Falso","Valdrían lo mismo","$ 1.000","5","6","Compra en la tienda","Pensionado/a",NA,"De $1.000.001 a $1.500.000","Algún estudio universitario o técnico (incompleto)","Las tarjetas de crédito son caras por sus intereses, es por eso que nunca pago el monto mínimo, trato de pagar la menor cantidad de interés.","186c3264bb6cf342_194fcf79a1c3965a_d9dc9324856330af_11f2938f889cf9e8cb359e869c840eec","Cint",282026,42304,"1000000","1","2","9194","291220","39173","321199","0"
"100","1183","True","ES","Sí","Sí","Usé 3 o más tarjetas de crédito","Hace menos de un mes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Otro monto:
A mayor monto, pagarás menos intereses adicionales. Pagarás gastos de cobranza si pagas menos que el mínimo.
","210000","27.414","27.414","32.536","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Otro monto:
A mayor monto, pagarás menos intereses adicionales. Pagarás gastos de cobranza si pagas menos que el mínimo.",210000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","54.598","0","A veces3","Casi siempre4","Nunca1","Nunca1","Nunca1","Nunca1","De forma automática pagando un monto diferente al total",NA,"Falso","$100.000 recibidos hoy y luego colocados en una cuenta de ahorros a una tasa del 10% de interés compuesto anualmente","$ 1.000","Nada
1
","Mucho
7
","Compra en la tienda","Empleado/a",NA,"De $2.000.001 a $3.000.001","Título universitario o técnico","Lo ocupado en la tarjeta es deuda.  No me gusta estar endeudada, por lo que voy a tratar de pagar el total, lo más pronto posible, dentro de mis posibilidades.  Prefiero apretarme y pagar, a estar endeudada por mucho tiempo.","a4b7bcf263329f8b_194fcf79a1c3965a_dd443f6999bf6fdb_33ba84830aa1d051e8a0b3d8d59dd127","Tdeu",282026,42304,"211520","2","2","2348","74374","28904","100930","210000"
